Crosses,LinebreaksAttemptedDefensiveLine,Passes,PassesCompleted,TimePlayed,player_id,team,team_id,advanced,position,linebreaks_per90,linebreaks_per100passes,crosses_per90,passing_accuracy_rate
1,2.0,26,23,81.49375,500038,MEX,43911,True,Defender,2.208758340363525,7.6923076923076925,1.1043791701817625,88.46153846153845
0,10.0,159,68,30.777066666666666,494531,PAR,43928,True,Goalkeeper,29.24255289652902,6.289308176100629,0.0,42.76729559748428
2,3.0,52,43,208.59924999999998,510757,HAI,43908,False,Forward,1.2943478943476547,5.769230769230769,0.8628985962317698,82.6923076923077
1,9.0,94,79,155.80253333333337,419068,USA,43921,True,Midfielder,5.19888850758952,9.574468085106384,0.5776542786210578,84.04255319148936
0,3.0,22,20,85.9498,461177,MEX,43911,True,Midfielder,3.141368566302656,13.636363636363635,0.0,90.9090909090909
2,5.0,170,156,349.6178666666666,395516,MEX,43911,True,Defender,1.2871195751246887,2.941176470588235,0.5148478300498756,91.76470588235294
4,6.0,80,57,293.80675,486875,PAR,43928,True,Defender,1.8379427974340274,7.5,1.2252951982893516,71.25
5,5.0,87,79,236.43435000000002,500037,MEX,43911,True,Midfielder,1.9032767446862098,5.747126436781609,1.9032767446862098,90.80459770114942
0,1.0,51,47,104.90254999999999,419077,USA,43921,True,Defender,0.857939106342029,1.9607843137254901,0.0,92.15686274509804
0,1.0,8,5,117.35748333333333,485804,PAR,43928,True,Midfielder,0.76688761077443,12.5,0.0,62.5
5,11.0,90,78,324.12940000000003,430609,BRA,43924,True,Forward,3.0543357066653005,12.222222222222221,1.3883344121205912,86.66666666666667
1,1.0,28,28,31.60065,448051,MEX,43911,True,Midfielder,2.848042682666337,3.571428571428571,2.848042682666337,100.0
6,5.0,275,256,505.65366666666665,367981,BRA,43924,True,Defender,0.8899371836190911,1.8181818181818181,1.0679246203429094,93.0909090909091
0,0.0,10,7,64.94615000000002,485802,PAR,43928,True,Forward,0.0,0.0,0.0,70.0
2,3.0,153,138,278.97153333333335,400634,MEX,43911,True,Defender,0.9678406852981175,1.9607843137254901,0.6452271235320783,90.19607843137256
9,13.0,129,80,488.06975000000006,479601,PAR,43928,True,Defender,2.397198351260245,10.077519379844961,1.6595988585647847,62.01550387596899
1,0.0,32,25,173.85736666666665,299200,AUT,43934,True,Forward,0.0,0.0,0.5176657263684158,78.125
1,4.0,380,367,520.8456,332946,BRA,43924,True,Defender,0.6911837212409974,1.0526315789473684,0.17279593031024934,96.57894736842105
1,1.0,32,24,216.86845000000002,476348,PAR,43928,True,Midfielder,0.41499812443903195,3.125,0.41499812443903195,75.0
1,4.0,20,16,146.53865,463746,BRA,43924,True,Forward,2.4566897538635715,20.0,0.6141724384658929,80.0
0,0.0,7,6,28.74970000000002,406205,PAR,43928,True,Midfielder,0.0,0.0,0.0,85.71428571428571
1,2.0,30,22,68.607,523215,HAI,43908,False,Midfielder,2.623638987275351,6.666666666666667,1.3118194936376755,73.33333333333333
19,11.0,167,140,431.4214333333333,402772,MEX,43911,True,Defender,2.2947399538100526,6.58682634730539,3.963641738399182,83.8323353293413
2,2.0,102,93,237.23881666666668,441261,MEX,43911,True,Defender,0.7587291259040029,1.9607843137254901,0.7587291259040029,91.17647058823529
2,4.0,101,80,332.37576666666666,463128,PAR,43928,True,Midfielder,1.083111454274695,3.9603960396039604,0.5415557271373475,79.20792079207921
0,6.0,298,281,419.95593333333335,339510,USA,43921,True,Defender,1.285849197828534,2.013422818791946,0.0,94.29530201342283
2,2.0,50,38,123.08418333333333,390272,USA,43921,True,Defender,1.4624137328232398,4.0,1.4624137328232398,76.0
0,3.0,12,12,38.946716666666674,448420,BRA,43924,True,Forward,6.932548443321921,25.0,0.0,100.0
7,6.0,294,262,471.82455,335656,BRA,43924,True,Defender,1.1444932231695024,2.0408163265306123,1.3352420936977527,89.1156462585034
1,7.0,116,69,456.2400166666667,369749,PAR,43928,True,Defender,1.3808521326183538,6.0344827586206895,0.19726459037405056,59.48275862068966
0,0.0,33,24,104.90254999999999,448217,USA,43921,True,Goalkeeper,0.0,0.0,0.0,72.72727272727273
1,0.0,19,13,69.49130000000001,505495,PAR,43928,True,Defender,0.0,0.0,1.295126152482397,68.42105263157895
0,0.0,91,80,554.4526166666667,369744,PAR,43928,True,Defender,0.0,0.0,0.0,87.91208791208791
6,2.0,60,53,226.1673166666667,464533,MEX,43911,True,Midfielder,0.7958709624931807,3.3333333333333335,2.387612887479542,88.33333333333333
0,2.0,95,63,419.95593333333335,499913,USA,43921,True,Goalkeeper,0.42861639927617795,2.1052631578947367,0.0,66.3157894736842
6,6.0,44,30,348.7864333333333,466624,USA,43921,True,Forward,1.548225356242354,13.636363636363635,1.548225356242354,68.18181818181817
0,4.0,237,221,412.8016,425701,MEX,43911,True,Defender,0.8720896430633989,1.6877637130801686,0.0,93.24894514767934
